arquivo,dataset,subset,caminho_relativo,caminho_completo,total_sentencas,total_palavras,total_silabas,media_silabas_por_sentenca,media_silabas_por_palavra
2923.txt,FakeBR_Human,,2923.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2923.txt,7,98,210,30.0,2.142857142857143
276.txt,FakeBR_Human,,276.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/276.txt,14,295,666,47.57142857142857,2.2576271186440677
1064.txt,FakeBR_Human,,1064.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1064.txt,12,149,298,24.833333333333332,2.0
733.txt,FakeBR_Human,,733.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/733.txt,10,176,385,38.5,2.1875
144.txt,FakeBR_Human,,144.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/144.txt,15,253,604,40.266666666666666,2.3873517786561265
477.txt,FakeBR_Human,,477.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/477.txt,9,306,661,73.44444444444444,2.1601307189542482
2627.txt,FakeBR_Human,,2627.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2627.txt,14,313,677,48.357142857142854,2.1629392971246006
3502.txt,FakeBR_Human,,3502.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3502.txt,9,201,417,46.333333333333336,2.074626865671642
1616.txt,FakeBR_Human,,1616.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1616.txt,6,97,235,39.166666666666664,2.422680412371134
2885.txt,FakeBR_Human,,2885.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2885.txt,11,164,370,33.63636363636363,2.2560975609756095
2137.txt,FakeBR_Human,,2137.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2137.txt,8,123,260,32.5,2.113821138211382
946.txt,FakeBR_Human,,946.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/946.txt,6,124,298,49.666666666666664,2.403225806451613
1989.txt,FakeBR_Human,,1989.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1989.txt,3,93,181,60.333333333333336,1.946236559139785
2676.txt,FakeBR_Human,,2676.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2676.txt,9,128,267,29.666666666666668,2.0859375
1313.txt,FakeBR_Human,,1313.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1313.txt,11,202,433,39.36363636363637,2.1435643564356437
3482.txt,FakeBR_Human,,3482.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3482.txt,30,538,1188,39.6,2.20817843866171
1394.txt,FakeBR_Human,,1394.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1394.txt,5,119,279,55.8,2.3445378151260505
2022.txt,FakeBR_Human,,2022.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2022.txt,6,84,196,32.666666666666664,2.3333333333333335
513.txt,FakeBR_Human,,513.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/513.txt,13,398,825,63.46153846153846,2.0728643216080402
3547.txt,FakeBR_Human,,3547.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3547.txt,11,330,768,69.81818181818181,2.327272727272727
925.txt,FakeBR_Human,,925.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/925.txt,4,84,199,49.75,2.369047619047619
398.txt,FakeBR_Human,,398.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/398.txt,14,201,468,33.42857142857143,2.328358208955224
1410.txt,FakeBR_Human,,1410.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1410.txt,3,122,247,82.33333333333333,2.0245901639344264
3563.txt,FakeBR_Human,,3563.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3563.txt,17,287,656,38.588235294117645,2.2857142857142856
3213.txt,FakeBR_Human,,3213.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3213.txt,6,101,225,37.5,2.227722772277228
3313.txt,FakeBR_Human,,3313.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3313.txt,10,207,453,45.3,2.1884057971014492
2708.txt,FakeBR_Human,,2708.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2708.txt,7,109,242,34.57142857142857,2.220183486238532
2328.txt,FakeBR_Human,,2328.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2328.txt,8,172,379,47.375,2.203488372093023
2394.txt,FakeBR_Human,,2394.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2394.txt,10,160,321,32.1,2.00625
3470.txt,FakeBR_Human,,3470.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3470.txt,10,301,664,66.4,2.2059800664451825
728.txt,FakeBR_Human,,728.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/728.txt,18,273,540,30.0,1.978021978021978
1094.txt,FakeBR_Human,,1094.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1094.txt,4,98,215,53.75,2.193877551020408
2354.txt,FakeBR_Human,,2354.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2354.txt,6,97,210,35.0,2.1649484536082473
471.txt,FakeBR_Human,,471.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/471.txt,15,293,598,39.86666666666667,2.0409556313993176
2965.txt,FakeBR_Human,,2965.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2965.txt,13,326,719,55.30769230769231,2.205521472392638
1569.txt,FakeBR_Human,,1569.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1569.txt,13,294,623,47.92307692307692,2.119047619047619
625.txt,FakeBR_Human,,625.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/625.txt,14,279,572,40.857142857142854,2.050179211469534
3174.txt,FakeBR_Human,,3174.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3174.txt,7,129,281,40.142857142857146,2.1782945736434107
100.txt,FakeBR_Human,,100.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/100.txt,16,271,597,37.3125,2.2029520295202953
3136.txt,FakeBR_Human,,3136.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3136.txt,16,251,526,32.875,2.095617529880478
3200.txt,FakeBR_Human,,3200.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3200.txt,6,99,225,37.5,2.272727272727273
3268.txt,FakeBR_Human,,3268.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3268.txt,8,233,543,67.875,2.3304721030042916
1148.txt,FakeBR_Human,,1148.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1148.txt,8,149,304,38.0,2.040268456375839
543.txt,FakeBR_Human,,543.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/543.txt,7,155,342,48.857142857142854,2.206451612903226
3496.txt,FakeBR_Human,,3496.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3496.txt,10,243,547,54.7,2.251028806584362
337.txt,FakeBR_Human,,337.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/337.txt,12,144,301,25.083333333333332,2.0902777777777777
2112.txt,FakeBR_Human,,2112.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2112.txt,8,87,165,20.625,1.896551724137931
1355.txt,FakeBR_Human,,1355.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1355.txt,6,121,284,47.333333333333336,2.347107438016529
1483.txt,FakeBR_Human,,1483.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1483.txt,15,174,371,24.733333333333334,2.132183908045977
2201.txt,FakeBR_Human,,2201.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2201.txt,7,72,158,22.571428571428573,2.1944444444444446
956.txt,FakeBR_Human,,956.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/956.txt,10,191,411,41.1,2.1518324607329844
1007.txt,FakeBR_Human,,1007.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1007.txt,9,226,468,52.0,2.0707964601769913
1894.txt,FakeBR_Human,,1894.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1894.txt,7,131,298,42.57142857142857,2.2748091603053435
2334.txt,FakeBR_Human,,2334.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2334.txt,16,240,522,32.625,2.175
1288.txt,FakeBR_Human,,1288.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1288.txt,9,157,329,36.55555555555556,2.0955414012738856
3180.txt,FakeBR_Human,,3180.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3180.txt,10,183,417,41.7,2.278688524590164
3509.txt,FakeBR_Human,,3509.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3509.txt,6,71,149,24.833333333333332,2.0985915492957745
317.txt,FakeBR_Human,,317.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/317.txt,13,160,344,26.46153846153846,2.15
2548.txt,FakeBR_Human,,2548.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2548.txt,6,87,198,33.0,2.2758620689655173
760.txt,FakeBR_Human,,760.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/760.txt,6,76,166,27.666666666666668,2.1842105263157894
653.txt,FakeBR_Human,,653.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/653.txt,6,101,193,32.166666666666664,1.9108910891089108
3081.txt,FakeBR_Human,,3081.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3081.txt,4,87,211,52.75,2.425287356321839
3156.txt,FakeBR_Human,,3156.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3156.txt,17,244,508,31.75,2.081967213114754
2951.txt,FakeBR_Human,,2951.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2951.txt,4,70,136,34.0,1.9428571428571428
3318.txt,FakeBR_Human,,3318.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3318.txt,6,107,207,34.5,1.9345794392523366
1109.txt,FakeBR_Human,,1109.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1109.txt,12,138,305,25.416666666666668,2.210144927536232
957.txt,FakeBR_Human,,957.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/957.txt,11,149,349,31.727272727272727,2.3422818791946307
834.txt,FakeBR_Human,,834.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/834.txt,5,96,217,43.4,2.2604166666666665
2860.txt,FakeBR_Human,,2860.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2860.txt,9,160,332,36.888888888888886,2.075
1411.txt,FakeBR_Human,,1411.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1411.txt,6,179,372,62.0,2.078212290502793
1024.txt,FakeBR_Human,,1024.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1024.txt,5,93,223,44.6,2.3978494623655915
3233.txt,FakeBR_Human,,3233.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3233.txt,9,145,328,36.44444444444444,2.2620689655172415
831.txt,FakeBR_Human,,831.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/831.txt,10,232,502,50.2,2.163793103448276
2311.txt,FakeBR_Human,,2311.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2311.txt,12,204,420,35.0,2.0588235294117645
2649.txt,FakeBR_Human,,2649.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2649.txt,13,139,291,22.384615384615383,2.093525179856115
3051.txt,FakeBR_Human,,3051.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3051.txt,9,159,317,35.22222222222222,1.9937106918238994
2837.txt,FakeBR_Human,,2837.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2837.txt,8,96,237,29.625,2.46875
308.txt,FakeBR_Human,,308.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/308.txt,3,109,248,82.66666666666667,2.2752293577981653
647.txt,FakeBR_Human,,647.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/647.txt,13,319,676,52.0,2.1191222570532915
1669.txt,FakeBR_Human,,1669.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1669.txt,6,120,270,45.0,2.25
1846.txt,FakeBR_Human,,1846.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1846.txt,4,87,209,52.25,2.4022988505747125
242.txt,FakeBR_Human,,242.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/242.txt,4,80,177,44.25,2.2125
3123.txt,FakeBR_Human,,3123.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3123.txt,14,317,659,47.07142857142857,2.078864353312303
3463.txt,FakeBR_Human,,3463.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3463.txt,5,108,219,43.8,2.0277777777777777
279.txt,FakeBR_Human,,279.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/279.txt,12,164,386,32.166666666666664,2.3536585365853657
731.txt,FakeBR_Human,,731.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/731.txt,15,657,1484,98.93333333333334,2.258751902587519
2593.txt,FakeBR_Human,,2593.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2593.txt,4,90,189,47.25,2.1
1371.txt,FakeBR_Human,,1371.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1371.txt,7,150,337,48.142857142857146,2.2466666666666666
2457.txt,FakeBR_Human,,2457.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2457.txt,10,128,267,26.7,2.0859375
2343.txt,FakeBR_Human,,2343.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2343.txt,9,221,474,52.666666666666664,2.1447963800904977
1607.txt,FakeBR_Human,,1607.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1607.txt,1,9,16,16.0,1.7777777777777777
517.txt,FakeBR_Human,,517.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/517.txt,9,261,544,60.44444444444444,2.0842911877394634
75.txt,FakeBR_Human,,75.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/75.txt,10,323,763,76.3,2.362229102167183
3520.txt,FakeBR_Human,,3520.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3520.txt,13,293,628,48.30769230769231,2.143344709897611
1749.txt,FakeBR_Human,,1749.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1749.txt,19,186,396,20.842105263157894,2.129032258064516
672.txt,FakeBR_Human,,672.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/672.txt,9,233,494,54.888888888888886,2.1201716738197427
228.txt,FakeBR_Human,,228.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/228.txt,5,151,320,64.0,2.119205298013245
1629.txt,FakeBR_Human,,1629.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1629.txt,7,96,204,29.142857142857142,2.125
2382.txt,FakeBR_Human,,2382.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2382.txt,12,183,386,32.166666666666664,2.109289617486339
187.txt,FakeBR_Human,,187.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/187.txt,20,278,600,30.0,2.158273381294964
2216.txt,FakeBR_Human,,2216.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2216.txt,11,129,270,24.545454545454547,2.0930232558139537
2181.txt,FakeBR_Human,,2181.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2181.txt,5,73,175,35.0,2.3972602739726026
1551.txt,FakeBR_Human,,1551.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1551.txt,12,149,310,25.833333333333332,2.0805369127516777
2430.txt,FakeBR_Human,,2430.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2430.txt,7,106,230,32.857142857142854,2.169811320754717
1318.txt,FakeBR_Human,,1318.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1318.txt,5,167,354,70.8,2.1197604790419162
1319.txt,FakeBR_Human,,1319.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1319.txt,10,183,409,40.9,2.2349726775956285
394.txt,FakeBR_Human,,394.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/394.txt,16,288,607,37.9375,2.107638888888889
236.txt,FakeBR_Human,,236.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/236.txt,13,408,985,75.76923076923077,2.4142156862745097
2316.txt,FakeBR_Human,,2316.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2316.txt,11,168,345,31.363636363636363,2.0535714285714284
2289.txt,FakeBR_Human,,2289.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2289.txt,9,244,526,58.44444444444444,2.1557377049180326
371.txt,FakeBR_Human,,371.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/371.txt,6,116,246,41.0,2.1206896551724137
2425.txt,FakeBR_Human,,2425.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2425.txt,20,271,568,28.4,2.095940959409594
2432.txt,FakeBR_Human,,2432.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2432.txt,6,112,265,44.166666666666664,2.3660714285714284
1678.txt,FakeBR_Human,,1678.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1678.txt,7,98,218,31.142857142857142,2.2244897959183674
743.txt,FakeBR_Human,,743.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/743.txt,6,92,212,35.333333333333336,2.3043478260869565
2508.txt,FakeBR_Human,,2508.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2508.txt,9,182,416,46.22222222222222,2.2857142857142856
204.txt,FakeBR_Human,,204.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/204.txt,6,190,419,69.83333333333333,2.205263157894737
120.txt,FakeBR_Human,,120.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/120.txt,31,580,1206,38.903225806451616,2.079310344827586
1137.txt,FakeBR_Human,,1137.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1137.txt,6,98,246,41.0,2.510204081632653
1535.txt,FakeBR_Human,,1535.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1535.txt,10,153,339,33.9,2.215686274509804
197.txt,FakeBR_Human,,197.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/197.txt,10,265,604,60.4,2.279245283018868
568.txt,FakeBR_Human,,568.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/568.txt,12,248,562,46.833333333333336,2.2661290322580645
3444.txt,FakeBR_Human,,3444.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3444.txt,14,175,366,26.142857142857142,2.0914285714285716
2211.txt,FakeBR_Human,,2211.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2211.txt,8,118,237,29.625,2.0084745762711864
2713.txt,FakeBR_Human,,2713.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2713.txt,12,129,274,22.833333333333332,2.124031007751938
